# time(sec) Desired Measured
0.081 0.2517 -0.0768
0.082 0.2548 -0.1006
0.083 0.2578 -0.0418
0.084 0.2608 -0.0772
0.085 0.2639 -0.0704
0.086 0.2669 -0.0547
0.087 0.2699 -0.0430
0.088 0.2730 -0.0259
0.089 0.2760 -0.0328
0.090 0.2790 -0.0500
0.091 0.2820 -0.0129
0.092 0.2850 -0.0242
0.093 0.2880 -0.0320
0.094 0.2910 0.0053
0.095 0.2940 0.0178
0.096 0.2970 -0.0107
0.097 0.3000 -0.0127
0.098 0.3030 -0.0009
0.099 0.3060 -0.0304
0.100 0.3090 0.0381
0.101 0.3120 -0.0023
0.102 0.3150 0.0020
0.103 0.3180 -0.0126
0.104 0.3209 -0.0035
0.105 0.3239 0.0040
0.106 0.3269 0.0219
0.107 0.3299 0.0298
0.108 0.3328 0.0369
0.109 0.3358 0.0045
0.110 0.3387 0.0406
0.111 0.3417 0.0455
0.112 0.3446 0.0445
0.113 0.3476 0.0756
0.114 0.3505 0.0543
0.115 0.3535 0.0332
0.116 0.3564 0.0365
0.117 0.3593 0.0700
0.118 0.3623 0.0475
0.119 0.3652 0.1032
0.120 0.3681 0.0903
0.121 0.3710 0.0439
0.122 0.3740 0.0344
0.123 0.3769 0.0938
0.124 0.3798 0.1039
0.125 0.3827 0.0608
0.126 0.3856 0.0529
0.127 0.3885 0.0760
0.128 0.3914 0.0506
0.129 0.3943 0.1195
0.130 0.3971 0.0819
0.131 0.4000 0.0502
0.132 0.4029 0.0428
0.133 0.4058 0.0722
0.134 0.4086 0.0721
0.135 0.4115 0.1356
0.136 0.4144 0.0951
0.137 0.4172 0.1010
0.138 0.4201 0.1358
0.139 0.4229 0.1395
0.140 0.4258 0.1331
0.141 0.4286 0.1281
0.142 0.4315 0.0953
0.143 0.4343 0.1473
0.144 0.4371 0.1067
0.145 0.4399 0.1034
0.146 0.4428 0.1473
0.147 0.4456 0.1235
0.148 0.4484 0.1489
0.149 0.4512 0.1594
0.150 0.4540 0.1643
0.151 0.4568 0.1677
0.152 0.4596 0.1369
0.153 0.4624 0.1319
0.154 0.4652 0.1826
0.155 0.4679 0.1407
0.156 0.4707 0.1611
0.157 0.4735 0.1716
0.158 0.4762 0.1651
0.159 0.4790 0.1389
0.160 0.4818 0.1574
0.161 0.4845 0.1562
0.162 0.4873 0.1645
0.163 0.4900 0.2118
0.164 0.4927 0.1586
0.165 0.4955 0.2051
0.166 0.4982 0.1582
0.167 0.5009 0.1953
0.168 0.5036 0.1919
0.169 0.5063 0.1905
0.170 0.5090 0.2147
0.171 0.5117 0.1837
0.172 0.5144 0.2030
0.173 0.5171 0.2014
0.174 0.5198 0.2169
0.175 0.5225 0.2505
0.176 0.5252 0.2402
0.177 0.5278 0.1704
0.178 0.5305 0.2341
0.179 0.5332 0.2147
0.180 0.5358 0.2545
0.181 0.5385 0.2213
0.182 0.5411 0.2349
0.183 0.5438 0.2559
0.184 0.5464 0.2318
0.185 0.5490 0.2387
0.186 0.5516 0.2681
0.187 0.5543 0.2886
0.188 0.5569 0.2700
0.189 0.5595 0.2496
0.190 0.5621 0.2597
0.191 0.5647 0.2410
0.192 0.5673 0.2427
0.193 0.5699 0.2818
0.194 0.5724 0.2582
0.195 0.5750 0.2616
0.196 0.5776 0.2935
0.197 0.5801 0.2884
0.198 0.5827 0.3080
0.199 0.5852 0.2676
0.200 0.5878 0.2669
0.201 0.5903 0.2748
0.202 0.5929 0.2694
0.203 0.5954 0.2936
0.204 0.5979 0.3328
0.205 0.6004 0.2714
0.206 0.6029 0.3037
0.207 0.6054 0.2924
0.208 0.6079 0.3209
0.209 0.6104 0.2911
0.210 0.6129 0.2363
0.211 0.6154 0.3145
0.212 0.6179 0.3298
0.213 0.6203 0.3150
0.214 0.6228 0.3205
0.215 0.6252 0.3176
0.216 0.6277 0.3350
0.217 0.6301 0.3175
0.218 0.6326 0.3393
0.219 0.6350 0.3487
0.220 0.6374 0.2855
0.221 0.6398 0.3308
0.222 0.6423 0.3165
0.223 0.6447 0.3962
0.224 0.6471 0.3504
0.225 0.6494 0.3464
0.226 0.6518 0.3279
0.227 0.6542 0.3540
0.228 0.6566 0.3633
0.229 0.6590 0.3707
0.230 0.6613 0.3685
0.231 0.6637 0.3520
0.232 0.6660 0.3822
0.233 0.6684 0.3741
0.234 0.6707 0.3607
0.235 0.6730 0.3869
0.236 0.6753 0.3730
0.237 0.6776 0.3546
0.238 0.6800 0.3572
0.239 0.6823 0.3979
0.240 0.6845 0.3878
0.241 0.6868 0.3890
0.242 0.6891 0.3662
0.243 0.6914 0.3904
0.244 0.6937 0.3947
0.245 0.6959 0.4047
0.246 0.6982 0.4248
0.247 0.7004 0.3831
0.248 0.7026 0.3835
0.249 0.7049 0.3923
0.250 0.7071 0.3858
0.251 0.7093 0.3981
0.252 0.7115 0.3718
0.253 0.7137 0.4388
0.254 0.7159 0.4162
0.255 0.7181 0.3774
0.256 0.7203 0.4097
0.257 0.7225 0.4382
0.258 0.7247 0.4008
0.259 0.7268 0.4429
0.260 0.7290 0.4751
0.261 0.7311 0.4614
0.262 0.7333 0.4160
0.263 0.7354 0.4200
0.264 0.7375 0.4394
0.265 0.7396 0.4671
0.266 0.7417 0.5076
0.267 0.7438 0.4541
0.268 0.7459 0.4759
0.269 0.7480 0.4645
0.270 0.7501 0.4535
0.271 0.7522 0.4515
0.272 0.7543 0.4575
0.273 0.7563 0.4526
0.274 0.7584 0.4953
0.275 0.7604 0.4289
0.276 0.7624 0.4718
0.277 0.7645 0.4409
0.278 0.7665 0.4908
0.279 0.7685 0.4893
0.280 0.7705 0.4952
0.281 0.7725 0.4667
0.282 0.7745 0.5273
0.283 0.7765 0.4828
0.284 0.7785 0.5013
0.285 0.7804 0.5092
0.286 0.7824 0.4911
0.287 0.7843 0.4957
0.288 0.7863 0.4918
0.289 0.7882 0.5203
0.290 0.7902 0.5145
0.291 0.7921 0.5103
0.292 0.7940 0.4956
0.293 0.7959 0.4928
0.294 0.7978 0.5313
0.295 0.7997 0.5230
0.296 0.8016 0.5268
0.297 0.8034 0.5521
0.298 0.8053 0.5422
0.299 0.8072 0.5404
0.300 0.8090 0.5437
0.301 0.8109 0.5325
0.302 0.8127 0.5496
0.303 0.8145 0.5120
0.304 0.8163 0.5126
0.305 0.8181 0.5066
0.306 0.8200 0.5517
0.307 0.8217 0.5306
0.308 0.8235 0.5169
0.309 0.8253 0.5532
0.310 0.8271 0.5137
0.311 0.8288 0.5345
0.312 0.8306 0.5734
0.313 0.8323 0.5494
0.314 0.8341 0.5722
0.315 0.8358 0.5621
0.316 0.8375 0.5466
0.317 0.8392 0.5813
0.318 0.8409 0.5892
0.319 0.8426 0.5713
0.320 0.8443 0.5668
0.321 0.8460 0.5586
0.322 0.8477 0.5639
0.323 0.8493 0.5866
0.324 0.8510 0.5592
0.325 0.8526 0.5791
0.326 0.8543 0.5447
0.327 0.8559 0.5716
0.328 0.8575 0.5838
0.329 0.8591 0.5944
0.330 0.8607 0.6051
0.331 0.8623 0.6031
0.332 0.8639 0.5668
0.333 0.8655 0.5685
0.334 0.8671 0.6014
0.335 0.8686 0.5700
0.336 0.8702 0.6041
0.337 0.8717 0.5886
0.338 0.8733 0.5897
0.339 0.8748 0.6204
0.340 0.8763 0.5974
0.341 0.8778 0.6173
0.342 0.8793 0.6453
0.343 0.8808 0.6351
0.344 0.8823 0.6117
0.345 0.8838 0.6083
0.346 0.8852 0.6249
0.347 0.8867 0.6191
0.348 0.8881 0.6483
0.349 0.8896 0.6465
0.350 0.8910 0.6213
0.351 0.8924 0.6271
0.352 0.8938 0.6257
0.353 0.8952 0.6552
0.354 0.8966 0.6506
0.355 0.8980 0.6607
0.356 0.8994 0.6028
0.357 0.9008 0.6709
0.358 0.9021 0.6740
0.359 0.9035 0.6347
0.360 0.9048 0.6394
0.361 0.9062 0.6278
0.362 0.9075 0.6644
0.363 0.9088 0.6899
0.364 0.9101 0.6381
0.365 0.9114 0.6848
0.366 0.9127 0.6843
0.367 0.9140 0.6819
0.368 0.9152 0.6915
0.369 0.9165 0.6791
0.370 0.9178 0.6570
0.371 0.9190 0.7068
0.372 0.9202 0.6968
0.373 0.9215 0.6819
0.374 0.9227 0.7056
0.375 0.9239 0.6504
0.376 0.9251 0.6970
0.377 0.9263 0.6968
0.378 0.9274 0.6885
0.379 0.9286 0.6622
0.380 0.9298 0.6431
0.381 0.9309 0.7194
0.382 0.9321 0.6971
0.383 0.9332 0.6722
0.384 0.9343 0.7045
0.385 0.9354 0.7274
0.386 0.9365 0.6898
0.387 0.9376 0.7431
0.388 0.9387 0.7108
0.389 0.9398 0.7033
0.390 0.9409 0.6940
0.391 0.9419 0.6878
0.392 0.9430 0.7160
0.393 0.9440 0.7074
0.394 0.9451 0.7141
0.395 0.9461 0.7383
0.396 0.9471 0.7062
0.397 0.9481 0.7331
0.398 0.9491 0.7166
0.399 0.9501 0.7402
0.400 0.9511 0.7467
0.401 0.9520 0.7130
0.402 0.9530 0.7300
0.403 0.9539 0.7455
0.404 0.9549 0.7433
0.405 0.9558 0.7146
0.406 0.9567 0.7479
0.407 0.9576 0.7110
0.408 0.9585 0.7260
0.409 0.9594 0.7094
0.410 0.9603 0.7710
0.411 0.9612 0.7222
0.412 0.9620 0.7498
0.413 0.9629 0.7274
0.414 0.9637 0.7421
0.415 0.9646 0.7651
0.416 0.9654 0.7675
0.417 0.9662 0.7413
0.418 0.9670 0.7671
0.419 0.9678 0.7556
0.420 0.9686 0.7613
0.421 0.9694 0.7666
0.422 0.9701 0.7716
0.423 0.9709 0.7656
0.424 0.9716 0.7275
0.425 0.9724 0.7714
0.426 0.9731 0.7434
0.427 0.9738 0.7933
0.428 0.9745 0.7857
0.429 0.9752 0.7692
0.430 0.9759 0.7968
0.431 0.9766 0.7666
0.432 0.9773 0.7843
0.433 0.9779 0.7587
0.434 0.9786 0.7884
0.435 0.9792 0.7642
0.436 0.9799 0.7760
0.437 0.9805 0.7996
0.438 0.9811 0.8148
0.439 0.9817 0.7933
0.440 0.9823 0.7893
0.441 0.9829 0.7684
0.442 0.9834 0.7727
0.443 0.9840 0.7813
0.444 0.9846 0.7938
0.445 0.9851 0.7843
0.446 0.9856 0.8135
0.447 0.9862 0.7995
0.448 0.9867 0.8097
0.449 0.9872 0.8388
0.450 0.9877 0.7812
0.451 0.9882 0.8307
0.452 0.9887 0.8113
0.453 0.9891 0.7986
0.454 0.9896 0.8295
0.455 0.9900 0.7722
0.456 0.9905 0.8060
0.457 0.9909 0.7777
0.458 0.9913 0.8142
0.459 0.9917 0.7942
0.460 0.9921 0.8579
0.461 0.9925 0.8017
0.462 0.9929 0.8091
0.463 0.9933 0.7981
0.464 0.9936 0.8158
0.465 0.9940 0.8229
0.466 0.9943 0.8357
0.467 0.9946 0.8153
0.468 0.9950 0.8169
0.469 0.9953 0.7949
0.470 0.9956 0.8216
0.471 0.9959 0.8247
0.472 0.9961 0.8375
0.473 0.9964 0.8241
0.474 0.9967 0.8283
0.475 0.9969 0.8213
0.476 0.9972 0.8573
0.477 0.9974 0.8568
0.478 0.9976 0.8349
0.479 0.9978 0.8230
0.480 0.9980 0.8342
0.481 0.9982 0.8291
0.482 0.9984 0.8500
0.483 0.9986 0.8166
0.484 0.9987 0.8432
0.485 0.9989 0.8081
0.486 0.9990 0.8336
0.487 0.9992 0.8725
0.488 0.9993 0.8886
0.489 0.9994 0.8822
0.490 0.9995 0.8578
0.491 0.9996 0.8556
0.492 0.9997 0.8740
0.493 0.9998 0.8127
0.494 0.9998 0.8567
0.495 0.9999 0.8549
0.496 0.9999 0.8355
0.497 1.0000 0.8637
0.498 1.0000 0.8930
0.499 1.0000 0.8877
0.500 1.0000 0.8613
0.501 1.0000 0.8497
0.502 1.0000 0.8811
0.503 1.0000 0.8590
0.504 0.9999 0.8485
0.505 0.9999 0.8633
0.506 0.9998 0.8713
0.507 0.9998 0.8422
0.508 0.9997 0.8448
0.509 0.9996 0.8762
0.510 0.9995 0.8374
0.511 0.9994 0.8343
0.512 0.9993 0.8155
0.513 0.9992 0.8645
0.514 0.9990 0.8807
0.515 0.9989 0.8298
0.516 0.9987 0.8798
0.517 0.9986 0.8824
0.518 0.9984 0.8454
0.519 0.9982 0.8533
0.520 0.9980 0.8714
0.521 0.9978 0.8879
0.522 0.9976 0.9238
0.523 0.9974 0.8695
0.524 0.9972 0.8771
0.525 0.9969 0.8660
0.526 0.9967 0.8759
0.527 0.9964 0.8907
0.528 0.9961 0.8885
0.529 0.9959 0.8676
0.530 0.9956 0.9042
0.531 0.9953 0.8374
0.532 0.9950 0.8835
0.533 0.9946 0.8671
0.534 0.9943 0.8278
0.535 0.9940 0.9184
0.536 0.9936 0.8856
0.537 0.9933 0.8869
0.538 0.9929 0.8429
0.539 0.9925 0.8860
0.540 0.9921 0.8930
0.541 0.9917 0.8916
0.542 0.9913 0.8700
0.543 0.9909 0.9042
0.544 0.9905 0.8907
0.545 0.9900 0.9113
0.546 0.9896 0.8777
0.547 0.9891 0.9150
0.548 0.9887 0.9127
0.549 0.9882 0.8918
0.550 0.9877 0.8899
0.551 0.9872 0.9032
0.552 0.9867 0.8923
0.553 0.9862 0.9057
0.554 0.9856 0.8502
0.555 0.9851 0.8790
0.556 0.9846 0.8658
0.557 0.9840 0.9046
0.558 0.9834 0.8912
0.559 0.9829 0.8559
0.560 0.9823 0.9002
0.561 0.9817 0.9120
0.562 0.9811 0.8991
0.563 0.9805 0.8842
0.564 0.9799 0.9060
0.565 0.9792 0.8758
0.566 0.9786 0.9020
0.567 0.9779 0.8680
0.568 0.9773 0.8737
0.569 0.9766 0.9051
0.570 0.9759 0.8780
0.571 0.9752 0.9131
0.572 0.9745 0.8737
0.573 0.9738 0.9102
0.574 0.9731 0.8743
0.575 0.9724 0.9161
0.576 0.9716 0.8782
0.577 0.9709 0.8742
0.578 0.9701 0.8780
0.579 0.9694 0.9034
0.580 0.9686 0.9107
0.581 0.9678 0.9158
0.582 0.9670 0.9010
0.583 0.9662 0.9185
0.584 0.9654 0.8828
0.585 0.9646 0.9058
0.586 0.9637 0.9175
0.587 0.9629 0.8904
0.588 0.9620 0.8645
0.589 0.9612 0.8783
0.590 0.9603 0.9236
0.591 0.9594 0.9291
0.592 0.9585 0.9106
0.593 0.9576 0.9078
0.594 0.9567 0.9126
0.595 0.9558 0.8799
0.596 0.9549 0.9022
0.597 0.9539 0.8777
0.598 0.9530 0.8850
0.599 0.9520 0.9134
0.600 0.9511 0.9500
0.601 0.9501 0.8775
0.602 0.9491 0.9363
0.603 0.9481 0.8758
0.604 0.9471 0.9088
0.605 0.9461 0.8819
0.606 0.9451 0.9099
0.607 0.9440 0.9080
0.608 0.9430 0.8966
0.609 0.9419 0.8964
0.610 0.9409 0.9138
0.611 0.9398 0.9062
0.612 0.9387 0.9229
0.613 0.9376 0.8912
0.614 0.9365 0.9274
0.615 0.9354 0.8987
0.616 0.9343 0.9066
0.617 0.9332 0.9132
0.618 0.9321 0.9125
0.619 0.9309 0.9121
0.620 0.9298 0.9036
0.621 0.9286 0.9218
0.622 0.9274 0.9002
0.623 0.9263 0.8873
0.624 0.9251 0.9162
0.625 0.9239 0.8718
0.626 0.9227 0.9271
0.627 0.9215 0.8749
0.628 0.9202 0.9032
0.629 0.9190 0.8704
0.630 0.9178 0.9028
0.631 0.9165 0.9232
0.632 0.9152 0.8836
0.633 0.9140 0.9102
0.634 0.9127 0.9071
0.635 0.9114 0.8951
0.636 0.9101 0.9065
0.637 0.9088 0.8872
0.638 0.9075 0.9118
0.639 0.9062 0.8979
0.640 0.9048 0.9077
0.641 0.9035 0.8994
0.642 0.9021 0.8979
0.643 0.9008 0.9055
0.644 0.8994 0.8761
0.645 0.8980 0.9181
0.646 0.8966 0.8920
0.647 0.8952 0.8927
0.648 0.8938 0.9127
0.649 0.8924 0.8738
0.650 0.8910 0.8946
0.651 0.8896 0.8765
0.652 0.8881 0.8857
0.653 0.8867 0.8930
0.654 0.8852 0.8512
0.655 0.8838 0.8966
0.656 0.8823 0.8980
0.657 0.8808 0.9168
0.658 0.8793 0.8448
0.659 0.8778 0.8570
0.660 0.8763 0.9239
0.661 0.8748 0.8899
0.662 0.8733 0.8740
0.663 0.8717 0.9213
0.664 0.8702 0.8527
0.665 0.8686 0.8701
0.666 0.8671 0.9126
0.667 0.8655 0.8855
0.668 0.8639 0.9143
0.669 0.8623 0.8839
0.670 0.8607 0.8688
0.671 0.8591 0.8907
0.672 0.8575 0.9157
0.673 0.8559 0.8960
0.674 0.8543 0.8729
0.675 0.8526 0.9072
0.676 0.8510 0.8476
0.677 0.8493 0.8934
0.678 0.8477 0.8973
0.679 0.8460 0.9294
0.680 0.8443 0.8976
0.681 0.8426 0.8696
0.682 0.8409 0.8715
0.683 0.8392 0.8786
0.684 0.8375 0.9101
0.685 0.8358 0.8838
0.686 0.8341 0.8537
0.687 0.8323 0.8586
0.688 0.8306 0.8504
0.689 0.8288 0.8755
0.690 0.8271 0.8778
0.691 0.8253 0.8662
0.692 0.8235 0.8478
0.693 0.8217 0.8642
0.694 0.8200 0.8640
0.695 0.8181 0.8872
0.696 0.8163 0.8740
0.697 0.8145 0.8388
0.698 0.8127 0.8842
0.699 0.8109 0.8523
0.700 0.8090 0.8484
0.701 0.8072 0.8398
0.702 0.8053 0.8557
0.703 0.8034 0.8301
0.704 0.8016 0.8495
0.705 0.7997 0.8687
0.706 0.7978 0.8491
0.707 0.7959 0.8623
0.708 0.7940 0.8694
0.709 0.7921 0.8790
0.710 0.7902 0.8712
0.711 0.7882 0.8442
0.712 0.7863 0.8448
0.713 0.7843 0.8853
0.714 0.7824 0.7797
0.715 0.7804 0.8488
0.716 0.7785 0.8735
0.717 0.7765 0.8696
0.718 0.7745 0.8335
0.719 0.7725 0.8401
0.720 0.7705 0.8299
0.721 0.7685 0.8464
0.722 0.7665 0.8438
0.723 0.7645 0.8286
0.724 0.7624 0.8265
0.725 0.7604 0.8292
0.726 0.7584 0.8357
0.727 0.7563 0.7964
0.728 0.7543 0.8252
0.729 0.7522 0.8426
0.730 0.7501 0.8417
0.731 0.7480 0.8026
0.732 0.7459 0.8600
0.733 0.7438 0.8149
0.734 0.7417 0.8147
0.735 0.7396 0.7897
0.736 0.7375 0.8067
0.737 0.7354 0.8211
0.738 0.7333 0.8477
0.739 0.7311 0.8103
0.740 0.7290 0.8157
0.741 0.7268 0.7875
0.742 0.7247 0.7986
0.743 0.7225 0.8286
0.744 0.7203 0.7643
0.745 0.7181 0.7918
0.746 0.7159 0.7907
0.747 0.7137 0.8161
0.748 0.7115 0.8089
0.749 0.7093 0.8042
0.750 0.7071 0.8013
0.751 0.7049 0.7851
0.752 0.7026 0.7719
0.753 0.7004 0.8104
0.754 0.6982 0.8116
0.755 0.6959 0.7684
0.756 0.6937 0.8428
0.757 0.6914 0.7910
0.758 0.6891 0.7985
0.759 0.6868 0.7575
0.760 0.6845 0.7953
0.761 0.6823 0.7812
0.762 0.6800 0.7734
0.763 0.6776 0.7444
0.764 0.6753 0.7910
0.765 0.6730 0.7310
0.766 0.6707 0.7997
0.767 0.6684 0.8008
0.768 0.6660 0.7739
0.769 0.6637 0.7700
0.770 0.6613 0.8103
0.771 0.6590 0.7587
0.772 0.6566 0.7643
0.773 0.6542 0.7787
0.774 0.6518 0.7761
0.775 0.6494 0.7531
0.776 0.6471 0.7634
0.777 0.6447 0.7572
0.778 0.6423 0.7674
0.779 0.6398 0.7612
0.780 0.6374 0.7432
0.781 0.6350 0.7542
0.782 0.6326 0.7420
0.783 0.6301 0.7633
0.784 0.6277 0.7385
0.785 0.6252 0.7335
0.786 0.6228 0.7627
0.787 0.6203 0.7373
0.788 0.6179 0.7333
0.789 0.6154 0.7135
0.790 0.6129 0.7464
0.791 0.6104 0.7870
0.792 0.6079 0.7330
0.793 0.6054 0.7269
0.794 0.6029 0.7519
0.795 0.6004 0.7305
0.796 0.5979 0.7506
0.797 0.5954 0.7513
0.798 0.5929 0.7102
0.799 0.5903 0.7189
0.800 0.5878 0.7067
0.801 0.5852 0.7224
0.802 0.5827 0.7363
0.803 0.5801 0.7229
0.804 0.5776 0.7143
0.805 0.5750 0.7126
0.806 0.5724 0.7047
0.807 0.5699 0.7291
0.808 0.5673 0.7134
0.809 0.5647 0.6989
0.810 0.5621 0.7189
0.811 0.5595 0.7172
0.812 0.5569 0.6952
0.813 0.5543 0.7183
0.814 0.5516 0.7065
0.815 0.5490 0.7267
0.816 0.5464 0.7023
0.817 0.5438 0.7024
0.818 0.5411 0.6845
0.819 0.5385 0.7028
0.820 0.5358 0.6952
0.821 0.5332 0.6738
0.822 0.5305 0.6766
0.823 0.5278 0.6957
0.824 0.5252 0.6777
0.825 0.5225 0.6766
0.826 0.5198 0.7021
0.827 0.5171 0.6583
0.828 0.5144 0.6685
0.829 0.5117 0.6913
0.830 0.5090 0.6664
0.831 0.5063 0.6830
0.832 0.5036 0.6896
0.833 0.5009 0.6518
0.834 0.4982 0.6796
0.835 0.4955 0.6901
0.836 0.4927 0.6506
0.837 0.4900 0.6700
0.838 0.4873 0.7114
0.839 0.4845 0.6962
0.840 0.4818 0.6715
0.841 0.4790 0.6628
0.842 0.4762 0.6492
0.843 0.4735 0.6417
0.844 0.4707 0.6455
0.845 0.4679 0.6276
0.846 0.4652 0.6381
0.847 0.4624 0.6682
0.848 0.4596 0.6236
0.849 0.4568 0.6184
0.850 0.4540 0.6199
0.851 0.4512 0.6101
0.852 0.4484 0.6503
0.853 0.4456 0.6154
0.854 0.4428 0.6268
0.855 0.4399 0.6108
0.856 0.4371 0.6078
0.857 0.4343 0.6191
0.858 0.4315 0.6132
0.859 0.4286 0.6159
0.860 0.4258 0.5944
0.861 0.4229 0.6133
0.862 0.4201 0.6334
0.863 0.4172 0.6008
0.864 0.4144 0.5931
0.865 0.4115 0.5848
0.866 0.4086 0.6125
0.867 0.4058 0.6143
0.868 0.4029 0.5979
0.869 0.4000 0.6497
0.870 0.3971 0.6153
0.871 0.3943 0.5633
0.872 0.3914 0.5727
0.873 0.3885 0.5923
0.874 0.3856 0.5977
0.875 0.3827 0.6167
0.876 0.3798 0.6086
0.877 0.3769 0.5744
0.878 0.3740 0.6004
0.879 0.3710 0.5756
0.880 0.3681 0.5592
0.881 0.3652 0.5626
0.882 0.3623 0.5960
0.883 0.3593 0.5113
0.884 0.3564 0.5449
0.885 0.3535 0.5269
0.886 0.3505 0.5532
0.887 0.3476 0.5709
0.888 0.3446 0.5358
0.889 0.3417 0.5969
0.890 0.3387 0.5645
0.891 0.3358 0.5451
0.892 0.3328 0.5286
0.893 0.3299 0.5391
0.894 0.3269 0.5162
0.895 0.3239 0.5269
0.896 0.3209 0.5186
0.897 0.3180 0.5322
0.898 0.3150 0.5325
0.899 0.3120 0.5330
0.900 0.3090 0.5364
0.901 0.3060 0.5446
0.902 0.3030 0.5198
0.903 0.3000 0.4953
0.904 0.2970 0.5269
0.905 0.2940 0.5485
0.906 0.2910 0.5178
0.907 0.2880 0.5149
0.908 0.2850 0.5076
0.909 0.2820 0.5194
0.910 0.2790 0.4999
0.911 0.2760 0.5027
0.912 0.2730 0.5044
0.913 0.2699 0.5149
0.914 0.2669 0.4850
0.915 0.2639 0.5243
0.916 0.2608 0.4861
0.917 0.2578 0.4632
0.918 0.2548 0.5146
0.919 0.2517 0.5309
0.920 0.2487 0.4729
0.921 0.2456 0.4822
0.922 0.2426 0.5075
0.923 0.2396 0.5055
0.924 0.2365 0.4547
0.925 0.2334 0.4689
0.926 0.2304 0.4702
0.927 0.2273 0.4636
0.928 0.2243 0.4608
0.929 0.2212 0.4425
0.930 0.2181 0.4606
0.931 0.2151 0.4527
0.932 0.2120 0.4551
0.933 0.2089 0.4104
0.934 0.2059 0.4446
0.935 0.2028 0.4481
0.936 0.1997 0.4471
0.937 0.1966 0.4386
0.938 0.1935 0.4774
0.939 0.1905 0.3975
0.940 0.1874 0.4400
0.941 0.1843 0.4413
0.942 0.1812 0.4215
0.943 0.1781 0.4340
0.944 0.1750 0.4446
0.945 0.1719 0.3951
0.946 0.1688 0.4107
0.947 0.1657 0.3999
0.948 0.1626 0.4001
0.949 0.1595 0.4015
0.950 0.1564 0.4116
0.951 0.1533 0.3960
0.952 0.1502 0.3966
0.953 0.1471 0.3952
0.954 0.1440 0.4013
0.955 0.1409 0.4177
0.956 0.1378 0.4003
0.957 0.1347 0.3959
0.958 0.1316 0.3962
0.959 0.1284 0.3569
0.960 0.1253 0.3907
0.961 0.1222 0.3730
0.962 0.1191 0.3877
0.963 0.1160 0.3445
0.964 0.1129 0.3815
0.965 0.1097 0.3762
0.966 0.1066 0.3918
0.967 0.1035 0.3602
0.968 0.1004 0.3639
0.969 0.0972 0.3523
0.970 0.0941 0.3443
0.971 0.0910 0.3225
0.972 0.0879 0.3587
0.973 0.0847 0.3387
0.974 0.0816 0.3244
0.975 0.0785 0.3460
0.976 0.0753 0.3402
0.977 0.0722 0.3257
0.978 0.0691 0.3286
0.979 0.0659 0.3063
0.980 0.0628 0.3101
0.981 0.0597 0.3199
0.982 0.0565 0.3154
0.983 0.0534 0.2835
0.984 0.0502 0.3338
0.985 0.0471 0.3021
0.986 0.0440 0.2888
0.987 0.0408 0.3101
0.988 0.0377 0.3151
0.989 0.0346 0.3272
